bitrh_dates,pups_born,pups_beforeW,weaned_f,weaned_m
06.03.2007,7,7,3,4
07.03.2007,3,3,2,1
06.03.2007,3,3,1,2
06.03.2007,5,5,3,2
07.03.2007,3,3,2,1
07.03.2007,7,7,4,3
07.03.2007,5,5,2,3
12.03.2007,5,5,3,2
14.03.2007,5,5,1,4
14.03.2007,8,8,6,2
15.03.2007,10,10,5,5
14.03.2007,4,4,2,2
14.03.2007,10,10,5,5
21.03.2007,2,2,2,0
21.03.2007,11,11,5,6
21.03.2007,7,7,3,4
21.03.2007,5,5,1,4
04.04.2007,7,7,1,6
28.03.2007,5,5,3,2
28.03.2007,4,4,0,4
27.03.2007,7,7,5,2
28.03.2007,3,3,0,3
25.04.2007,7,7,4,3
25.04.2007,7,7,2,5
24.04.2007,14,14,9,5
24.04.2007,9,9,5,4
25.04.2007,11,11,7,4
25.04.2007,12,12,8,4
10.05.2007,2,2,1,1
17.05.2007,2,2,2,0
26.08.2007,5,0,0,0
26.08.2007,14,0,0,0
04.02.2008,2,2,1,1
04.02.2008,4,4,2,2
04.02.2008,3,3,2,1
12.02.2008,5,5,3,2
12.02.2008,5,5,0,5
12.02.2008,2,2,1,1
05.02.2008,8,8,4,4
05.02.2008,5,5,2,3
26.02.2008,9,9,4,5
30.09.2007,5,5,2,3
03.10.2007,4,4,1,3
03.10.2007,7,7,5,2
08.11.2007,3,3,2,1
09.11.2007,11,11,5,6
13.11.2007,2,2,1,1
13.11.2007,3,3,2,1
15.12.2007,10,9,6,3
14.11.2007,10,0,0,0
21.11.2007,2,2,0,2
22.12.2007,6,6,4,2
05.12.2007,5,5,4,1
28.02.2008,12,12,5,7
26.02.2008,8,8,3,5
27.02.2008,3,3,3,0
28.01.2008,10,0,0,0
28.01.2008,12,0,0,0
18.12.2007,2,2,1,1
18.12.2007,2,2,0,0
18.12.2007,9,9,5,4
05.12.2007,6,6,4,2
11.12.2007,10,10,5,5
12.12.2007,6,6,3,3
12.12.2007,3,3,1,2
18.12.2007,6,6,1,5
03.01.2008,9,8,2,6
09.01.2008,7,7,3,4
07.01.2008,11,11,6,5
28.01.2008,15,0,0,0
25.02.2008,6,6,4,2
19.04.2008,5,5,3,2
28.03.2008,9,9,4,2
01.03.2008,6,6,5,0
30.01.2008,14,14,9,0
09.01.2008,14,14,4,10
18.12.2007,13,13,8,0
26.11.2007,13,13,5,8
02.11.2007,14,14,4,0
