bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
26.06.2014	8	8	4	4
15.05.2014	6	6	4	2
19.04.2014	8	8	4	4
01.04.2014	5	7	3	4
14.03.2014	7	11	6	5
30.01.2014	10	10	7	3
06.01.2014	17	14	6	8
15.04.2015	2	2	1	1
25.02.2015	1	1	0	0
06.01.2015	7	6	2	4
14.12.2014	6	6	1	5
28.10.2014	7	5	3	2
05.10.2014	7	7	0	5
08.09.2014	8	8	4	4
01.08.2014	8	8	4	4
03.07.2014	8	8	0	0
12.06.2014	8	5	2	3
02.03.2015	3	3	0	0
09.02.2015	5	5	4	1
29.12.2014	3	3	0	3
07.12.2014	5	5	5	0
10.11.2014	9	9	5	4
29.09.2014	9	9	4	5
07.09.2014	4	5	3	2
09.07.2014	8	8	0	0
12.06.2014	10	15	9	6
15.08.2014	4	4	4	0
30.05.2014	4	6	0	6
30.01.2014	10	12	6	6
25.01.2015	7	7	5	2
17.11.2014	5	5	2	3
18.10.2014	5	4	1	3
29.09.2014	5	5	2	3
02.09.2014	8	8	4	4
07.08.2014	8	5	5	0
09.07.2014	8	8	0	0
12.06.2014	7	7	5	2
22.05.2014	11	11	5	6
19.04.2014	8	8	6	2
27.03.2014	12	8	4	4
20.02.2014	6	6	4	2
17.01.2014	8	4	4	0
27.12.2013	9	9	3	6
28.11.2013	10	3	0	3
25.10.2013	6	6	5	1
03.10.2013	16	11	3	8
01.08.2014	5	4	4	0
19.04.2014	8	8	8	0
27.03.2014	11	7	7	0
06.08.2014	6	7	3	4
19.04.2014	10	6	4	2
12.06.2014	7	7	6	1
19.04.2014	8	8	8	0
01.04.2014	4	4	3	1
06.03.2014	11	10	10	0
07.02.2014	16	4	2	2
26.06.2014	8	8	0	0
19.04.2014	4	7	4	3
07.02.2014	10	10	6	4
09.01.2014	9	7	7	0
19.12.2013	9	6	6	0
21.11.2013	8	12	4	8
06.08.2014	6	8	4	4
26.06.2014	6	15	11	4
30.05.2014	18	18	9	9
19.04.2014	15	3	0	3
19.10.2014	6	6	2	4
10.09.2014	8	9	5	4
15.08.2014	8	6	3	3
26.06.2014	8	11	8	3
16.04.2014	7	7	0	7
20.01.2016	8	8	5	3
01.12.2015	5	5	5	0
08.11.2015	8	8	4	4
30.09.2015	7	6	4	2
20.08.2015	7	7	6	1
27.07.2015	5	5	3	2
05.07.2015	3	3	2	1
10.06.2015	7	7	2	5
20.05.2015	10	10	7	3
23.04.2015	10	9	3	6
10.07.2015	2	2	1	1
16.06.2015	2	2	2	0
08.12.2015	11	8	4	4
12.11.2015	9	9	5	4
