bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
13.03.2014	8	8	6	2
02.12.2014	3	3	2	1
02.11.2014	4	4	2	2
07.08.2014	5	4	2	2
09.06.2015	8	8	4	4
06.04.2015	8	8	0	0
17.02.2015	8	4	2	2
13.10.2015	6	4	2	2
18.08.2015	4	4	0	0
21.07.2015	6	6	3	3
09.06.2015	8	8	6	2
18.04.2015	2	2	0	0
05.03.2015	2	4	2	2
07.02.2015	8	8	0	8
15.07.2016	5	2	0	0
26.07.2016	8	4	0	0
12.04.2016	4	4	0	0
15.11.2015	6	2	0	0
08.03.2016	7	7	5	2
01.02.2016	5	4	2	2
18.12.2015	7	7	3	4
05.07.2016	11	10	5	5
19.05.2016	10	10	5	5
06.04.2016	6	6	0	0
13.03.2016	2	2	0	0
01.12.2017	2	2	0	2
09.10.2017	1	1	0	0
07.11.2017	4	4	2	2
09.10.2017	3	3	0	0
09.02.2017	6	7	0	0
25.12.2016	5	5	0	0
01.12.2016	1	2	2	0
20.10.2016	6	6	0	0
26.08.2016	7	7	0	0
27.05.2018	10	10	0	0
08.05.2018	6	6	0	0
10.04.2018	9	9	0	0
28.05.2018	6	6	0	0
09.04.2018	1	1	0	0
22.03.2017	7	7	0	0
07.02.2017	12	12	5	5
22.12.2016	6	6	0	0
29.11.2016	7	7	0	0
07.10.2016	6	6	3	3
22.08.2017	10	10	4	3
03.07.2017	8	5	3	2
23.04.2017	9	9	0	0
04.08.2017	3	3	0	0
28.03.2018	11	11	4	4
14.02.2018	9	9	0	0
03.01.2018	10	10	5	4
28.11.2011	8	9	6	3
07.11.2011	6	4	2	2
17.10.2011	7	8	4	4
07.10.2011	4	3	1	2
08.08.2011	6	6	4	2
04.07.2011	6	6	2	4
10.05.2011	7	8	4	4
01.02.2011	8	4	4	0
22.12.2010	9	8	4	4
08.03.2011	7	5	2	3
25.01.2011	6	4	0	4
02.11.2010	7	3	3	0
23.11.2010	7	6	4	2
02.11.2010	6	6	2	4
22.12.2010	9	9	0	0
02.11.2010	9	10	4	6
07.12.2012	8	8	2	6
11.10.2012	6	7	4	3
27.08.2012	7	7	3	4
07.08.2012	5	5	3	2
26.06.2012	5	7	2	5
17.05.2013	7	6	6	0
02.04.2013	6	6	2	4
07.03.2013	6	4	0	4
17.01.2013	8	6	6	0
02.11.2012	8	9	6	3
27.08.2012	7	7	3	4
18.05.2012	6	10	6	4
15.02.2012	5	5	0	5
18.01.2012	6	7	0	7
02.07.2012	3	3	3	0
22.05.2014	7	6	3	3
03.04.2014	6	6	0	6
23.01.2014	5	4	2	2
14.11.2013	6	5	5	0
17.10.2013	5	4	4	0
21.08.2013	3	3	3	0
08.07.2013	6	3	0	3
17.05.2013	8	10	6	4
05.04.2013	6	5	3	2
20.06.2014	8	11	6	5
08.05.2014	6	9	6	3
03.04.2014	5	6	3	3
