bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
24.08.2019	10	10	4	6
11.06.2019	4	4	1	3
13.05.2019	10	10	0	0
22.04.2019	1	1	0	0
01.04.2019	4	4	2	2
01.07.2019	2	1	0	1
11.05.2019	5	5	3	2
25.03.2019	5	5	1	4
21.02.2019	2	2	2	0
15.01.2019	2	2	1	1
23.12.2018	2	2	1	1
02.11.2018	4	4	3	1
06.06.2020	1	1	0	1
12.04.2020	4	4	1	3
27.02.2020	9	9	7	2
15.01.2020	9	9	4	1
23.12.2019	7	7	5	2
02.12.2019	6	6	2	4
22.10.2019	6	6	4	2
04.11.2020	6	6	0	0
09.10.2020	5	7	2	5
18.11.2020	9	9	0	0
09.10.2020	5	7	2	5
27.10.2020	1	8	4	3
05.10.2020	6	6	2	2
25.03.2019	6	6	0	0
01.03.2019	6	6	1	5
05.01.2019	5	5	1	4
24.11.2018	7	7	0	2
14.10.2018	7	7	4	3
04.03.2019	9	9	5	4
05.02.2019	12	10	4	6
28.12.2018	5	5	0	5
24.11.2018	9	9	4	5
03.05.2019	4	4	2	2
10.04.2019	5	5	0	0
24.02.2019	5	5	2	2
05.02.2019	3	3	3	0
10.01.2019	9	9	4	5
24.11.2018	9	9	2	2
14.10.2018	8	8	6	2
18.11.2018	8	8	0	0
12.10.2018	4	4	1	3
17.09.2018	2	2	0	0
04.08.2018	6	6	4	2
21.11.2018	2	2	0	0
31.10.2018	2	2	1	0
21.09.2018	2	2	1	1
05.08.2018	7	7	4	3
11.11.2018	5	5	1	3
19.10.2018	2	2	1	1
27.08.2018	6	6	2	4
01.04.2019	6	6	1	1
11.03.2019	1	1	0	0
05.02.2019	1	1	0	0
05.02.2019	1	1	0	0
16.01.2019	1	1	0	0
01.01.2019	8	5	1	1
23.10.2018	7	7	2	5
22.03.2019	2	2	1	1
16.02.2019	6	6	1	1
24.01.2019	5	4	0	2
02.01.2019	1	1	0	1
21.11.2018	6	5	2	3
16.10.2018	5	5	3	2
24.10.2019	6	6	3	3
04.09.2019	3	3	3	0
13.08.2019	4	3	1	2
21.07.2019	7	7	3	2
28.06.2019	6	6	5	1
31.05.2019	8	10	1	2
03.05.2019	6	6	3	3
21.10.2019	7	7	2	5
27.07.2019	5	5	0	2
20.05.2019	6	7	2	3
23.04.2019	7	7	3	4
27.12.2019	3	3	1	2
10.10.2019	2	2	0	0
22.08.2019	1	1	1	0
15.07.2019	3	3	1	2
01.06.2019	3	3	0	3
28.04.2019	6	6	3	3
01.11.2019	4	4	3	1
15.09.2019	1	1	0	0
26.08.2019	3	3	1	2
27.07.2019	2	2	2	0
04.11.2019	4	4	2	1
19.08.2019	3	3	1	2
21.07.2019	1	1	0	1
05.07.2019	4	4	1	3
12.06.2019	7	8	4	4
02.05.2019	11	9	5	4
19.12.2019	3	3	1	2
23.09.2019	5	6	3	3
01.09.2019	3	3	3	0
26.07.2019	4	4	0	1
02.12.2019	6	6	2	3
16.08.2019	3	3	0	3
07.12.2019	2	2	1	1
13.11.2019	1	1	0	0
21.10.2019	5	5	4	1
27.09.2019	2	2	0	2
05.09.2019	3	3	2	1
26.07.2019	4	4	1	0
09.06.2019	5	5	3	1
17.05.2019	6	6	5	1
20.04.2019	6	6	2	4
13.03.2019	5	5	3	2
23.09.2018	5	5	1	1
05.08.2018	2	2	0	2
05.05.2019	1	1	0	0
10.04.2019	7	6	3	3
11.03.2019	5	6	0	0
11.02.2019	5	5	3	0
18.01.2019	6	4	1	3
26.11.2018	9	7	5	2
18.09.2019	2	2	0	1
25.08.2019	1	1	1	0
01.08.2019	6	6	0	1
05.06.2019	6	6	3	2
10.05.2019	10	6	3	3
15.04.2019	4	4	1	3
11.03.2019	5	5	4	1
18.03.2019	1	1	0	0
03.02.2019	8	3	2	1
14.01.2019	6	2	1	1
28.12.2018	6	6	2	4
24.06.2020	4	4	2	1
12.05.2020	4	4	4	0
15.04.2020	7	7	1	6
17.03.2020	8	8	5	3
21.02.2020	7	7	4	2
31.01.2020	8	8	5	3
02.01.2020	6	6	3	1
31.08.2020	1	1	0	0
09.08.2020	4	4	2	2
17.07.2020	3	3	2	1
24.06.2020	4	4	2	2
01.06.2020	2	2	0	0
11.05.2020	6	7	3	4
16.03.2020	3	3	2	1
20.02.2020	6	6	2	4
31.01.2020	2	2	2	0
08.01.2020	2	2	0	0
15.12.2019	7	8	4	4
15.11.2019	7	7	0	4
23.03.2020	5	6	1	5
29.02.2020	9	12	5	7
18.12.2019	8	9	9	0
25.10.2019	8	8	3	5
19.01.2020	8	8	1	2
18.12.2019	9	9	2	7
15.03.2020	2	2	0	2
