bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
11.06.2020	5	5	0	0
01.05.2020	5	5	1	4
04.04.2015	4	4	3	1
02.02.2015	8	8	4	4
14.01.2015	2	2	0	0
20.01.2015	6	6	4	2
11.10.2014	3	2	1	1
29.09.2015	3	3	0	0
07.09.2015	7	7	2	5
16.08.2015	5	5	0	0
27.07.2015	6	6	0	0
10.06.2015	5	5	0	5
24.05.2015	5	5	2	3
27.07.2015	6	6	0	0
07.07.2015	8	6	2	4
11.06.2015	7	6	3	3
29.09.2015	5	5	3	2
18.08.2015	10	10	0	0
27.07.2015	7	7	0	0
07.07.2015	5	3	2	1
08.06.2015	6	6	3	3
24.05.2015	5	5	0	1
24.07.2016	8	8	4	4
03.07.2016	4	4	0	0
26.10.2015	4	4	0	0
27.03.2016	6	6	4	2
04.02.2016	6	6	3	3
25.12.2015	5	5	0	0
04.12.2015	7	4	2	2
01.03.2016	8	8	5	3
08.02.2016	4	2	1	1
19.01.2016	7	5	0	0
29.08.2016	2	2	0	0
08.08.2016	4	4	0	0
27.06.2016	8	8	4	4
02.06.2016	7	6	3	3
20.09.2016	3	3	0	0
22.08.2016	7	7	4	3
03.07.2016	6	4	0	0
26.04.2016	2	2	0	0
16.02.2016	4	7	0	0
21.12.2015	5	5	1	4
24.02.2016	6	6	3	3
19.12.2015	6	6	3	3
29.11.2017	4	4	0	0
17.10.2017	8	2	0	2
25.09.2017	7	7	0	0
06.09.2017	6	6	3	3
31.10.2017	4	4	0	0
14.11.2016	8	7	2	5
01.11.2016	4	4	0	0
07.10.2016	3	3	0	0
19.04.2017	2	2	0	0
18.01.2017	4	7	5	2
07.12.2016	1	1	0	0
18.01.2017	3	3	0	0
22.11.2016	1	1	0	0
11.10.2016	5	5	0	0
23.11.2017	6	6	3	3
04.10.2017	7	7	5	2
06.09.2017	5	5	0	0
29.07.2017	5	5	3	2
26.05.2017	6	1	0	0
23.04.2017	4	4	0	0
03.04.2017	6	6	2	4
18.06.2017	10	8	4	0
02.05.2017	7	7	0	0
12.04.2017	3	3	3	0
10.05.2017	6	6	0	0
23.04.2017	8	8	0	4
20.11.2018	4	4	0	4
27.10.2018	6	6	3	3
10.09.2018	7	7	3	4
10.11.2018	8	8	5	0
18.07.2018	3	3	0	0
29.05.2018	3	7	3	4
07.05.2018	4	4	0	0
28.03.2018	9	9	4	3
08.08.2018	4	4	1	0
26.06.2018	6	6	0	0
10.05.2018	6	6	0	0
04.08.2018	5	5	1	4
29.05.2018	6	6	2	4
23.04.2018	11	11	0	0
28.03.2018	10	10	4	6
20.02.2018	3	3	0	0
01.02.2018	4	4	0	0
07.01.2018	7	7	4	3
20.02.2018	4	4	0	0
03.01.2018	7	7	3	4
17.02.2019	6	6	0	0
24.01.2019	7	7	4	3
01.01.2019	2	2	0	0
23.01.2019	7	7	0	0
01.01.2019	9	9	5	4
25.02.2019	6	6	0	0
06.02.2019	6	6	5	0
11.08.2019	10	10	0	0
06.07.2019	8	8	6	2
14.06.2019	8	8	5	3
16.05.2019	8	5	5	0
25.04.2019	4	4	0	0
06.06.2019	4	4	0	0
02.05.2019	1	1	0	0
12.08.2019	5	5	0	0
02.07.2019	6	6	3	3
07.06.2019	5	5	0	4
16.05.2019	3	3	0	0
27.08.2019	8	7	0	0
20.07.2019	2	2	0	0
10.06.2019	4	4	4	0
19.05.2020	5	5	2	3
01.05.2020	1	1	0	0
19.03.2020	3	3	0	0
31.01.2020	6	6	5	0
24.05.2020	2	2	2	0
12.04.2020	3	3	0	0
03.06.2020	8	8	5	3
13.05.2020	2	6	0	0
22.04.2020	4	4	2	2
12.01.2020	4	4	0	0
30.12.2019	4	4	0	0
19.12.2019	3	3	0	0
26.11.2019	6	7	1	6
21.10.2019	6	6	3	3
30.09.2019	11	11	4	5
31.12.2019	4	4	0	0
10.12.2019	3	3	0	0
03.11.2019	2	2	0	0
23.12.2019	3	3	0	0
30.11.2019	5	5	0	0
11.11.2019	5	5	0	0
20.10.2019	6	6	0	0
02.10.2019	3	3	0	0
10.07.2020	3	3	0	0
15.06.2020	2	2	0	0
14.05.2020	4	4	0	0
24.09.2020	8	8	0	0
01.09.2020	7	7	0	0
09.08.2020	5	5	0	0
25.09.2020	8	8	0	0
02.09.2020	13	13	5	3
10.08.2020	4	5	3	2
23.11.2010	3	1	0	1
23.11.2010	3	3	3	0
19.10.2010	7	2	0	2
19.10.2010	3	3	0	3
25.08.2011	4	2	2	0
02.08.2011	5	5	0	0
16.03.2011	7	5	2	3
16.04.2012	6	8	3	5
05.03.2012	8	11	7	4
12.12.2011	8	8	5	3
21.11.2011	6	6	4	2
07.11.2011	4	5	3	2
10.10.2011	5	5	2	3
23.08.2011	7	7	6	1
25.07.2011	8	16	8	8
30.05.2011	7	4	1	3
04.01.2011	4	4	4	0
10.01.2012	6	6	2	4
28.11.2011	4	9	6	3
07.11.2011	8	7	3	4
10.10.2011	6	6	3	3
10.01.2012	6	6	6	0
10.10.2011	1	1	1	0
12.01.2011	5	4	0	4
14.12.2010	3	3	1	2
19.10.2010	5	5	3	2
30.05.2011	4	4	3	1
08.03.2011	7	5	2	3
26.01.2011	6	6	3	3
13.12.2010	6	6	4	2
23.11.2010	4	7	5	2
13.12.2010	5	2	0	2
23.11.2010	3	2	0	2
19.10.2010	5	6	5	1
08.09.2012	7	7	4	3
18.07.2012	12	12	7	5
19.06.2012	10	10	2	8
02.05.2013	5	5	4	1
26.03.2013	5	5	3	2
07.03.2013	8	8	3	5
07.02.2013	12	11	4	7
27.12.2012	9	9	4	5
14.05.2013	6	3	0	3
24.01.2013	6	8	6	2
04.01.2013	4	4	2	2
23.11.2012	4	9	5	4
11.10.2012	6	4	0	4
12.07.2013	5	5	3	2
19.12.2013	6	3	0	3
21.11.2013	7	7	4	3
25.10.2013	3	3	3	0
17.10.2013	8	7	5	2
19.09.2013	8	10	6	4
28.07.2013	6	5	0	5
30.05.2014	8	6	0	6
10.02.2014	8	8	3	5
24.12.2013	8	11	5	6
29.11.2013	7	7	3	4
23.05.2014	5	3	0	3
18.04.2014	6	5	2	3
30.05.2014	6	4	0	4
