bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
26.11.2017	8	7	6	0
03.10.2017	13	13	7	0
10.09.2017	4	4	3	0
13.08.2017	14	14	5	0
25.06.2017	16	16	4	0
01.06.2017	12	12	8	0
02.05.2017	11	11	4	0
05.04.2017	14	14	4	2
10.03.2017	10	10	6	3
07.12.2016	4	4	2	0
15.11.2016	4	4	1	0
20.10.2016	4	4	2	2
26.09.2016	5	5	3	0
01.09.2016	2	2	2	0
01.09.2016	8	8	1	0
05.08.2016	7	7	7	0
13.07.2016	14	6	6	0
20.05.2016	5	5	5	0
24.04.2016	13	13	5	0
31.03.2016	5	5	5	0
06.03.2016	15	15	10	0
12.02.2016	15	15	6	0
11.12.2017	9	9	0	0
18.11.2017	10	10	5	5
22.10.2017	10	8	7	1
25.09.2017	14	14	9	0
29.08.2017	7	7	3	0
14.05.2017	8	8	3	5
19.04.2017	9	9	4	0
27.03.2017	14	14	4	0
01.03.2017	13	13	5	2
05.02.2017	10	10	2	0
14.01.2017	8	8	4	0
18.12.2016	12	12	2	0
22.11.2016	10	10	4	0
26.12.2017	7	7	2	0
06.12.2017	3	3	2	0
12.10.2017	8	8	5	0
22.08.2017	15	15	3	0
14.07.2017	12	12	2	0
26.11.2017	9	9	5	0
30.09.2017	12	12	7	5
01.09.2017	10	10	5	0
02.08.2017	7	7	3	0
17.07.2017	8	8	4	0
02.01.2018	9	9	1	0
11.12.2017	10	10	5	0
18.11.2017	12	12	6	6
23.10.2017	6	6	6	0
01.10.2017	15	15	8	7
04.09.2017	12	12	5	0
12.08.2017	13	13	7	0
18.07.2017	10	10	5	0
03.11.2017	16	16	9	7
14.10.2017	10	10	6	0
03.09.2017	6	6	6	0
19.07.2017	11	11	5	0
13.12.2017	9	9	2	0
20.11.2017	9	9	4	5
24.10.2017	5	6	5	0
03.10.2017	6	6	1	5
27.10.2017	6	5	5	0
02.10.2017	12	12	7	0
08.09.2017	14	14	4	0
02.08.2017	11	11	6	0
18.07.2017	15	15	5	0
06.02.2018	9	9	4	5
07.01.2018	12	12	6	0
07.01.2019	4	4	3	0
13.12.2018	9	9	3	0
22.11.2018	9	9	5	0
06.10.2018	17	17	7	0
13.09.2018	18	18	6	0
20.08.2018	14	14	5	0
29.07.2018	15	15	5	5
09.07.2018	15	15	8	0
15.06.2018	16	16	8	0
23.05.2018	18	18	9	0
02.05.2018	15	15	9	0
29.12.2018	7	7	2	0
05.12.2018	12	12	3	0
12.11.2018	16	14	7	0
21.10.2018	17	15	5	0
28.09.2018	14	14	7	0
19.08.2018	20	20	8	0
25.07.2018	20	20	9	5
01.07.2018	15	15	7	0
11.06.2018	14	14	5	0
21.05.2018	13	13	3	10
02.01.2019	5	5	1	0
10.12.2018	7	7	4	0
17.11.2018	9	9	8	0
27.10.2018	4	4	1	0
14.09.2018	18	18	5	0
20.08.2018	16	16	8	0
29.07.2018	16	16	3	5
06.07.2018	18	18	6	0
11.06.2018	18	18	12	0
20.05.2018	13	12	7	5
25.06.2019	4	4	0	0
02.05.2019	6	6	1	0
07.04.2019	9	9	7	2
15.03.2019	6	6	3	0
22.02.2019	4	4	2	0
28.01.2019	5	5	3	2
06.01.2019	10	10	4	0
14.12.2018	3	3	2	0
23.11.2018	3	3	1	0
26.07.2018	19	19	8	5
05.07.2018	17	17	7	0
10.06.2018	16	16	8	0
20.05.2018	13	13	7	6
03.01.2019	7	7	3	0
10.12.2018	13	13	4	0
14.11.2018	18	18	4	0
24.10.2018	14	14	8	0
30.09.2018	17	17	6	0
07.09.2018	20	20	7	0
