bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
29.09.2011	5	5	2	3
07.09.2011	6	5	2	3
17.08.2011	9	8	3	5
18.07.2011	9	9	5	4
28.06.2011	5	5	3	2
01.06.2011	8	8	5	3
08.05.2011	8	9	4	5
14.04.2011	5	5	0	5
16.06.2017	2	2	0	0
25.05.2017	4	4	1	3
21.04.2017	9	9	3	6
21.07.2017	1	1	0	0
26.06.2017	5	5	1	4
02.05.2017	8	0	0	0
25.03.2017	6	6	4	2
01.03.2017	11	10	5	5
01.02.2017	1	1	0	0
29.06.2017	11	11	8	3
05.09.2017	7	7	3	4
27.06.2017	6	6	3	3
20.08.2017	8	5	0	0
21.07.2017	5	5	0	0
28.06.2017	8	7	4	3
15.10.2017	4	4	0	0
13.09.2017	8	8	2	6
23.07.2017	3	3	0	0
03.07.2017	6	6	5	1
22.07.2017	8	6	2	4
26.06.2017	11	10	5	5
22.07.2017	7	7	5	2
26.06.2017	9	9	7	2
05.06.2017	6	6	3	3
03.05.2017	3	3	1	2
23.03.2017	8	8	4	4
03.06.2017	4	4	2	2
11.05.2017	4	4	2	2
26.05.2017	3	3	2	1
18.04.2017	6	6	4	2
23.03.2017	7	7	5	2
22.09.2017	2	0	0	0
30.08.2017	7	7	5	2
07.08.2017	5	3	1	2
27.03.2017	5	5	4	1
19.04.2017	7	7	0	7
04.07.2017	3	2	1	1
10.06.2017	8	8	5	3
14.03.2017	1	1	0	0
01.03.2017	7	7	3	4
02.02.2017	5	5	2	3
24.12.2016	5	5	2	3
16.06.2017	2	2	0	0
19.06.2017	4	4	0	4
03.06.2017	2	1	0	0
11.05.2017	11	11	6	5
30.03.2017	7	7	4	3
06.03.2017	7	7	6	1
27.05.2017	6	6	2	4
03.05.2017	6	6	3	3
15.06.2017	2	2	2	0
19.05.2017	4	4	2	2
26.06.2017	3	1	0	0
26.05.2017	6	5	4	1
02.05.2017	11	11	5	6
06.03.2017	9	10	4	6
02.08.2017	7	7	3	4
11.05.2017	8	8	4	4
27.03.2017	9	9	3	6
10.02.2017	5	6	2	4
16.01.2017	5	5	4	1
22.05.2017	10	2	1	1
27.03.2017	10	9	4	5
19.02.2017	1	5	4	1
18.04.2017	6	6	4	2
18.03.2017	6	6	4	2
20.02.2017	3	3	3	0
15.01.2017	5	5	1	4
26.06.2017	1	1	1	0
01.06.2017	11	11	6	5
10.04.2017	5	4	1	3
25.02.2017	4	5	1	4
18.01.2017	3	2	1	1
21.04.2017	10	9	5	4
17.02.2017	3	3	3	0
14.05.2017	8	8	0	0
31.03.2017	8	7	5	2
26.04.2017	9	9	8	1
27.03.2017	5	5	4	1
17.04.2017	7	7	2	5
09.02.2017	9	8	5	3
26.03.2017	7	5	2	3
27.03.2017	6	5	3	2
21.02.2017	5	4	2	2
17.11.2016	8	8	5	3
21.04.2017	3	2	2	0
04.03.2017	4	4	2	2
30.01.2017	4	4	3	1
27.12.2016	9	9	4	5
17.05.2017	6	7	3	4
01.04.2017	5	5	0	5
04.03.2017	7	7	6	1
22.02.2017	6	6	4	2
08.05.2017	3	3	2	1
13.04.2017	6	6	2	4
27.04.2017	0	0	0	0
31.03.2017	3	3	2	1
31.01.2017	5	4	3	1
05.01.2017	4	4	1	3
12.12.2016	6	5	2	3
23.11.2016	3	3	1	2
11.10.2016	12	10	8	2
16.09.2016	7	7	3	4
02.06.2017	8	6	4	2
11.03.2017	3	3	1	2
23.10.2017	2	2	1	1
19.08.2017	5	5	2	3
25.07.2017	6	6	3	3
01.10.2017	7	7	3	4
06.09.2017	6	6	4	2
25.07.2017	6	6	3	3
03.06.2017	7	7	5	2
29.03.2017	6	6	4	2
03.03.2017	10	10	4	6
13.06.2017	1	1	0	0
15.04.2017	5	5	1	4
04.03.2017	5	5	4	1
22.08.2017	5	3	3	0
02.08.2017	1	2	0	2
26.06.2017	4	2	2	0
02.05.2017	7	7	2	3
06.03.2017	7	7	4	3
03.03.2017	5	5	4	1
19.06.2017	9	9	5	4
02.05.2017	7	7	3	4
21.05.2017	6	6	4	2
27.03.2017	5	5	0	0
03.03.2017	6	6	3	3
12.06.2017	7	7	2	5
29.04.2017	5	5	0	5
31.03.2017	4	4	3	1
06.03.2017	8	8	6	2
05.05.2017	9	9	0	0
24.03.2017	7	7	2	5
14.08.2017	8	8	3	5
20.07.2017	3	3	2	1
05.05.2017	9	9	3	6
13.04.2017	5	5	2	3
23.07.2017	6	6	2	4
30.06.2017	1	1	1	0
28.03.2017	6	6	5	1
08.05.2017	1	1	0	0
30.03.2017	4	4	3	1
25.07.2017	9	8	4	4
13.06.2017	7	7	2	5
21.05.2017	11	11	3	8
13.04.2017	7	5	2	3
06.07.2017	3	3	1	2
11.06.2017	10	10	7	3
27.04.2017	5	5	2	3
02.04.2017	8	8	4	4
08.05.2017	11	9	5	4
17.04.2017	4	4	3	1
16.09.2017	5	5	1	4
24.08.2017	9	9	6	3
07.07.2017	9	9	5	4
15.06.2017	4	4	0	0
30.08.2017	1	1	0	0
07.08.2017	3	3	3	0
19.06.2017	4	4	0	0
08.03.2017	4	4	1	3
11.02.2017	10	10	6	4
18.12.2016	2	2	1	1
22.11.2016	12	12	4	8
08.11.2017	3	3	2	1
11.10.2017	10	10	3	7
12.09.2017	3	3	1	2
15.08.2017	7	7	3	4
24.07.2017	1	2	0	0
26.06.2017	6	3	1	2
02.08.2007	11	11	11	0
12.06.2007	2	2	0	2
19.05.2007	8	8	5	3
28.12.2007	8	8	0	0
13.11.2007	10	10	4	6
10.10.2007	10	10	1	9
21.09.2007	2	2	1	1
02.08.2007	10	10	0	10
25.06.2007	8	8	6	0
30.05.2007	2	2	1	1
07.03.2009	5	5	3	2
13.02.2009	3	3	2	1
23.01.2009	3	3	0	3
02.01.2009	4	4	3	1
06.12.2008	10	11	5	6
10.11.2008	9	9	5	4
16.07.2008	7	7	0	5
09.05.2008	5	13	6	3
06.03.2008	6	5	5	0
02.02.2008	8	8	2	0
19.06.2008	7	8	0	0
01.11.2009	7	6	0	0
30.10.2007	8	8	4	4
28.09.2009	5	5	5	0
10.08.2009	10	10	8	2
18.07.2009	13	13	6	7
23.06.2009	9	9	4	5
02.06.2009	6	5	2	3
09.05.2009	7	4	2	2
17.04.2009	6	4	0	4
03.03.2009	9	9	6	3
07.02.2009	9	8	0	8
21.04.2009	11	11	7	4
28.03.2009	12	11	3	8
03.03.2009	9	9	5	4
05.02.2009	10	11	11	0
05.12.2009	5	5	0	0
09.11.2009	10	10	0	0
16.10.2009	7	7	4	3
22.09.2009	10	10	2	8
31.08.2009	10	10	4	6
10.08.2009	2	2	1	1
26.06.2009	10	13	6	7
09.05.2009	12	13	7	6
17.02.2009	12	10	8	2
15.12.2009	3	3	0	0
23.10.2009	7	6	3	3
29.09.2009	5	5	2	3
09.08.2009	12	12	6	6
06.07.2009	8	8	5	3
27.05.2009	10	10	5	5
05.05.2009	18	19	8	11
04.12.2009	10	9	6	3
10.11.2009	8	11	4	7
15.10.2009	8	8	4	4
28.09.2009	5	8	4	4
17.09.2009	10	12	6	6
23.08.2009	7	5	3	2
17.07.2009	7	7	3	4
15.06.2009	8	7	7	0
09.09.2009	11	7	5	2
09.07.2009	10	10	6	4
01.06.2009	1	1	0	1
07.05.2009	6	6	2	4
08.11.2009	5	5	0	0
14.10.2009	8	7	4	3
22.11.2017	11	11	7	4
14.10.2017	4	4	3	1
24.09.2017	2	2	2	0
22.08.2017	12	12	6	6
14.04.2018	10	10	8	2
27.02.2018	8	7	4	3
21.12.2017	9	9	3	6
21.12.2017	9	8	3	5
23.02.2018	4	4	0	4
26.01.2018	8	8	6	2
16.12.2017	8	8	6	2
01.11.2017	2	2	0	2
11.09.2017	11	11	8	3
05.08.2017	13	12	4	8
26.06.2017	7	7	3	4
26.11.2017	2	2	1	1
03.10.2017	11	11	5	6
04.09.2017	8	9	6	3
20.07.2017	5	5	1	4
30.06.2017	6	6	4	2
21.04.2018	7	7	3	4
13.03.2018	3	3	1	2
21.02.2018	8	8	7	1
13.01.2018	8	8	4	4
28.11.2017	5	5	1	4
06.11.2017	3	3	2	1
09.10.2017	8	8	3	5
22.09.2017	2	1	1	0
14.09.2017	2	1	0	0
19.08.2017	3	3	2	1
29.07.2017	3	3	1	2
01.11.2017	5	5	0	0
26.08.2017	7	8	2	6
02.08.2017	7	6	2	4
02.06.2017	10	9	6	3
02.05.2017	1	1	0	1
20.03.2017	1	1	0	0
09.03.2017	7	7	2	5
04.10.2017	8	8	2	6
05.08.2017	4	4	1	3
13.07.2017	4	4	1	3
15.01.2018	7	7	2	5
21.11.2017	3	3	1	2
24.10.2017	10	10	6	4
28.08.2017	8	7	4	3
30.07.2017	6	6	2	4
16.06.2017	5	5	2	3
06.03.2017	8	7	3	4
18.12.2017	7	7	1	6
04.10.2017	4	4	0	0
20.08.2017	8	8	3	5
31.07.2017	7	7	6	1
28.06.2017	11	11	5	6
27.10.2017	3	3	1	2
03.10.2017	7	7	5	2
03.03.2018	4	4	2	2
02.05.2018	9	9	5	4
13.03.2018	8	10	4	6
07.10.2017	7	7	3	4
03.01.2018	6	6	0	0
01.12.2017	7	7	4	3
06.11.2017	8	8	3	5
21.08.2017	5	5	1	4
13.03.2018	2	2	0	0
01.08.2017	3	3	3	0
13.06.2017	8	8	4	4
26.04.2017	2	2	0	0
03.04.2017	6	6	2	4
01.04.2018	8	8	4	4
21.02.2018	3	3	3	0
18.04.2018	1	1	0	1
06.03.2018	8	7	3	4
30.01.2018	3	3	0	0
04.01.2018	7	7	4	3
22.10.2017	9	9	6	3
04.08.2017	3	3	2	1
12.07.2017	3	6	3	3
18.06.2017	5	5	1	4
14.05.2017	2	2	1	1
31.03.2017	6	6	3	3
08.11.2017	1	1	0	0
23.08.2017	7	6	4	2
03.01.2018	5	6	4	2
21.11.2017	4	4	3	1
26.10.2017	5	3	2	1
01.10.2017	8	8	5	3
05.09.2017	3	2	1	1
26.07.2017	8	8	4	4
10.11.2017	7	7	7	0
12.09.2017	10	10	3	7
30.01.2018	7	7	2	4
06.01.2018	9	9	6	3
21.11.2017	3	2	2	0
06.10.2017	6	6	0	0
18.01.2018	2	2	1	1
29.11.2017	6	6	4	2
14.10.2017	5	5	3	2
19.08.2017	3	3	1	2
24.07.2017	9	9	5	4
19.01.2018	6	6	1	3
19.01.2018	6	6	0	0
24.11.2017	8	8	3	5
02.11.2017	4	5	2	3
02.11.2017	9	9	0	0
01.05.2018	5	5	2	3
07.04.2018	6	6	3	3
17.03.2018	5	5	2	3
21.02.2018	6	6	2	4
11.07.2018	8	8	6	2
22.05.2018	3	3	1	2
24.04.2018	5	6	2	4
01.05.2018	7	7	3	4
21.02.2018	8	8	5	3
21.06.2018	11	11	3	8
09.05.2018	12	12	6	6
12.03.2018	9	8	2	6
06.07.2018	1	1	0	0
13.06.2018	4	4	3	1
22.05.2018	2	2	1	1
16.03.2018	7	7	2	5
16.07.2018	4	4	3	1
21.06.2018	8	8	5	3
01.06.2018	4	4	1	3
22.05.2018	2	2	1	1
05.04.2018	4	4	3	1
13.03.2018	2	2	1	1
21.02.2018	5	5	3	2
03.03.2018	3	3	0	0
07.04.2018	2	2	0	0
11.03.2018	6	6	4	2
01.05.2018	8	8	4	4
17.03.2018	6	6	3	3
19.11.2018	4	4	1	3
26.10.2018	7	7	3	4
29.07.2018	10	10	6	4
03.06.2018	10	10	4	6
17.07.2018	7	7	4	3
24.06.2018	9	9	3	6
08.11.2018	4	4	1	3
01.07.2018	5	5	2	3
15.11.2018	7	6	4	2
10.10.2018	2	2	2	0
09.09.2018	6	6	4	2
05.12.2018	12	12	7	5
22.09.2018	1	1	0	0
14.07.2018	3	3	1	2
30.06.2018	6	6	0	6
02.06.2018	7	7	2	4
13.12.2018	3	3	1	2
17.11.2018	10	9	5	4
26.10.2018	2	2	2	0
02.10.2018	4	4	2	2
09.09.2018	5	5	2	3
20.07.2018	2	2	0	0
07.11.2018	14	15	6	9
24.09.2018	6	14	7	7
25.01.2019	3	3	1	2
01.01.2019	7	7	5	2
05.12.2018	1	1	0	0
12.11.2018	3	3	2	1
21.10.2018	5	4	1	3
24.09.2018	9	9	4	5
16.12.2018	6	6	2	4
20.11.2018	8	8	2	6
19.11.2018	8	8	3	5
23.10.2018	6	6	4	2
03.04.2019	5	5	4	1
11.03.2019	5	4	2	2
18.02.2019	6	6	2	3
20.01.2016	7	7	3	4
09.12.2015	3	3	1	2
28.10.2015	9	9	6	3
31.08.2015	8	8	6	2
02.06.2015	7	7	4	3
05.02.2016	2	2	1	1
13.12.2015	5	5	2	3
26.10.2015	8	8	2	6
13.09.2018	8	8	3	5
06.08.2018	1	1	0	0
12.07.2018	8	8	3	5
21.06.2018	7	7	0	0
29.05.2018	10	10	5	5
20.04.2018	4	4	1	3
30.03.2018	7	7	2	5
13.02.2018	8	8	4	4
06.05.2018	9	9	0	0
22.03.2018	8	7	3	4
14.02.2018	6	6	2	4
20.02.2018	5	5	0	0
07.01.2018	12	12	7	5
19.12.2017	1	1	0	0
27.11.2017	8	8	5	3
14.12.2018	11	10	7	3
08.11.2018	9	9	5	4
25.10.2018	3	3	0	0
01.10.2018	7	7	4	3
29.11.2018	5	4	3	1
25.09.2018	8	8	6	2
06.08.2018	3	2	1	1
16.07.2018	5	5	1	4
18.05.2018	6	6	4	2
27.04.2018	3	2	0	0
03.04.2018	8	8	2	6
14.02.2018	10	9	6	3
09.05.2019	2	2	0	0
17.04.2019	7	7	0	0
02.09.2015	9	9	3	6
18.07.2015	7	7	4	3
02.06.2015	7	6	4	2
06.12.2015	9	9	2	7
26.10.2015	8	8	5	3
17.01.2017	4	2	1	1
10.11.2016	6	6	4	2
03.10.2016	4	4	3	1
13.08.2016	11	11	4	7
02.07.2016	7	7	4	3
24.11.2017	3	3	2	1
12.10.2017	2	1	1	0
27.08.2017	6	6	2	4
25.07.2017	11	11	0	0
18.06.2017	3	3	1	2
29.03.2017	9	7	3	4
21.02.2018	4	4	3	1
31.10.2017	8	8	5	3
14.09.2017	9	8	2	6
18.08.2017	9	7	5	2
13.11.2018	5	5	2	3
01.10.2018	3	3	0	0
27.02.2014	6	6	2	4
14.08.2014	7	6	2	4
24.07.2014	9	9	5	4
06.06.2014	5	6	4	2
26.03.2015	4	4	3	1
13.01.2015	8	8	3	5
26.11.2014	8	10	5	5
19.10.2014	8	9	5	4
27.09.2014	16	16	8	8
13.08.2014	8	8	4	4
06.04.2015	5	5	3	2
19.02.2015	10	10	7	3
10.01.2015	7	7	2	5
27.11.2014	8	4	2	2
08.03.2015	8	8	3	5
15.02.2015	7	7	2	5
18.03.2015	8	8	1	7
13.02.2015	5	5	4	1
16.04.2015	10	10	4	6
09.03.2015	5	5	4	1
16.02.2015	4	4	1	3
13.04.2015	8	8	6	2
06.03.2015	5	5	3	2
11.02.2015	8	8	5	3
24.10.2012	10	9	4	5
23.03.2013	4	4	2	0
02.03.2013	7	7	3	0
16.01.2013	9	9	5	2
08.05.2013	3	3	0	0
14.04.2013	9	9	6	3
14.03.2013	5	4	0	4
26.01.2013	5	5	4	0
09.12.2012	5	5	0	5
27.10.2012	10	8	6	2
15.04.2013	3	3	0	3
21.01.2013	5	5	3	2
02.12.2012	8	6	3	3
10.02.2014	5	5	5	0
04.12.2013	6	6	2	4
16.10.2013	5	5	4	1
20.09.2013	8	8	4	4
05.08.2013	10	10	7	0
21.06.2013	8	8	2	0
05.07.2013	5	5	4	0
24.04.2013	4	4	1	3
27.03.2013	9	9	4	0
27.03.2013	5	0	0	0
27.11.2012	2	0	0	0
05.10.2012	6	6	4	2
11.12.2012	5	5	4	0
14.06.2012	1	0	0	0
01.04.2012	8	8	5	3
15.03.2012	11	5	2	3
11.01.2012	9	9	0	7
22.11.2011	5	5	1	4
25.10.2011	2	2	2	0
11.09.2012	8	8	4	4
20.06.2012	6	8	5	3
27.11.2012	7	7	5	2
19.07.2011	4	4	3	1
22.06.2011	7	7	5	2
21.04.2011	7	7	3	4
18.05.2011	4	8	5	0
28.11.2013	2	0	0	0
06.01.2014	3	3	2	0
16.10.2013	3	3	0	1
01.09.2013	2	2	1	1
06.08.2013	2	2	0	0
02.06.2013	3	0	0	0
27.02.2013	10	10	6	0
16.01.2013	9	9	4	4
04.01.2014	6	6	0	6
10.11.2013	9	9	3	6
17.10.2013	8	8	4	4
20.09.2013	9	9	3	6
01.02.2014	6	6	0	0
06.01.2014	10	10	8	2
13.11.2013	3	3	3	0
27.05.2014	7	7	2	0
22.02.2012	11	7	5	2
11.01.2012	9	9	6	3
04.12.2011	8	8	6	0
09.11.2011	7	6	4	2
05.01.2012	9	9	4	5
24.11.2011	10	10	5	5
12.10.2011	10	10	6	4
10.01.2012	7	7	5	1
26.04.2012	8	8	8	0
19.09.2011	6	0	0	0
24.07.2011	4	1	1	0
26.07.2011	8	8	4	4
14.11.2014	2	2	2	0
12.08.2014	4	4	0	4
12.08.2014	4	4	1	3
01.03.2015	2	2	2	0
08.01.2015	6	5	3	2
15.09.2014	9	9	3	6
24.02.2014	10	10	4	6
14.01.2014	7	7	3	0
09.08.2014	5	5	2	3
09.10.2014	5	4	3	1
04.09.2014	6	6	1	5
10.08.2014	7	7	4	3
30.06.2014	3	3	2	0
08.06.2014	8	8	7	0
03.06.2014	5	5	2	3
03.05.2014	3	3	1	0
26.12.2014	8	0	0	0
02.11.2014	8	8	3	5
16.12.2014	8	10	6	4
17.10.2014	7	7	1	6
03.04.2015	10	10	6	4
11.05.2015	10	10	6	4
12.04.2015	4	0	0	0
06.07.2015	8	8	3	5
06.07.2015	6	5	0	5
16.08.2015	7	7	0	7
07.04.2015	4	0	0	0
16.02.2015	10	11	6	5
19.08.2015	5	5	5	0
03.04.2015	10	10	6	4
17.11.2013	6	6	2	4
12.02.2007	10	9	4	5
14.05.2007	8	7	3	4
09.04.2007	5	8	3	5
