bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
30.08.2017	4	4	2	2
17.07.2017	4	4	2	2
01.06.2017	5	5	2	2
19.04.2017	5	5	4	1
29.12.2017	2	2	1	0
14.11.2017	4	3	2	1
29.09.2017	4	4	1	3
18.11.2017	2	2	0	0
06.10.2017	5	5	1	4
30.08.2017	5	5	3	2
06.08.2017	1	1	0	0
19.07.2017	3	3	0	0
22.06.2017	5	5	0	0
01.06.2017	9	9	6	3
19.04.2017	7	6	3	3
04.02.2018	4	3	0	0
25.12.2017	5	5	3	2
11.01.2018	11	11	9	2
17.11.2016	5	4	2	2
19.09.2016	1	1	0	0
24.08.2016	5	4	1	3
31.07.2016	9	9	7	2
09.12.2016	1	4	4	0
26.10.2016	5	8	4	4
14.09.2016	6	6	0	0
17.04.2016	5	7	2	5
23.02.2016	3	3	3	0
01.02.2016	1	1	1	0
06.01.2016	6	5	1	4
22.11.2015	8	7	4	3
08.10.2015	9	9	5	4
16.09.2015	2	2	0	2
27.08.2015	4	4	1	3
06.01.2016	4	4	2	2
20.11.2015	7	6	2	4
30.09.2015	10	8	2	6
16.08.2015	7	7	5	2
10.05.2016	5	4	2	2
03.03.2016	6	6	2	4
06.01.2016	3	6	4	2
06.11.2015	10	10	3	7
24.09.2015	7	6	1	5
29.08.2015	8	9	4	5
04.12.2015	9	9	5	4
22.10.2015	10	10	5	5
27.08.2015	9	9	7	2
11.02.2016	2	1	0	0
30.11.2015	5	4	1	3
11.11.2015	5	5	3	2
08.10.2015	1	1	1	0
29.09.2015	9	9	5	4
16.08.2015	5	5	3	2
06.03.2016	6	5	2	3
23.12.2015	8	8	5	3
08.10.2015	9	7	2	5
16.09.2015	6	5	2	3
16.03.2016	5	9	5	4
02.02.2016	6	6	3	3
10.12.2015	7	7	4	3
29.10.2015	5	6	3	3
08.10.2015	3	3	2	1
16.09.2015	5	6	5	1
20.08.2015	7	8	6	2
07.04.2016	5	5	2	3
06.01.2016	3	3	1	2
21.11.2015	5	3	1	2
06.11.2015	3	3	2	1
10.10.2015	7	7	4	3
20.09.2015	2	2	1	1
27.08.2015	6	6	4	2
02.06.2017	10	9	7	2
02.04.2017	5	5	1	0
06.03.2017	8	6	2	4
24.01.2017	7	6	5	1
29.12.2016	7	5	3	2
10.07.2017	2	2	0	0
21.06.2017	4	2	0	0
25.04.2017	7	7	0	0
03.04.2017	8	8	4	4
19.02.2017	7	7	3	4
03.01.2017	4	3	3	0
03.04.2017	5	5	3	0
08.02.2017	8	8	2	6
22.08.2017	4	4	3	1
17.06.2017	10	10	6	0
08.05.2017	2	5	2	3
18.04.2017	2	2	0	0
20.03.2017	9	9	4	0
27.02.2017	2	2	0	0
05.02.2017	8	8	5	3
23.09.2016	7	7	0	0
31.07.2016	10	10	5	5
20.06.2016	8	8	3	5
21.11.2016	1	3	0	0
26.10.2016	6	7	3	4
12.09.2016	2	2	0	0
23.08.2016	3	2	2	0
14.07.2016	6	6	3	3
14.10.2016	7	7	3	4
23.09.2016	5	5	0	0
31.07.2016	5	5	1	4
20.06.2016	5	5	2	3
28.09.2016	7	7	0	0
10.08.2016	8	10	5	5
20.06.2016	6	6	5	1
28.08.2016	10	6	3	3
11.07.2016	4	3	0	3
20.06.2016	5	5	1	4
03.04.2017	2	2	1	1
24.01.2017	9	9	5	4
05.12.2016	7	6	1	5
29.10.2016	6	3	3	0
24.01.2017	6	6	5	1
01.01.2017	2	2	0	0
09.12.2016	3	4	4	0
20.10.2016	10	9	4	5
28.08.2016	7	6	3	3
30.11.2016	7	9	3	6
07.10.2016	9	8	2	6
28.08.2016	2	2	2	0
24.01.2017	7	7	3	4
22.11.2016	1	3	1	2
02.11.2016	5	5	4	1
09.10.2016	1	2	0	2
22.09.2016	2	2	0	0
28.08.2016	7	6	3	3
30.11.2016	5	5	3	2
14.10.2016	10	9	7	2
28.08.2016	7	8	2	4
08.02.2017	5	4	2	2
29.12.2016	3	3	0	0
09.12.2016	3	3	1	2
23.10.2016	3	5	3	2
30.09.2016	6	6	0	0
05.12.2016	5	5	3	2
19.09.2016	2	2	0	0
29.08.2016	2	2	0	0
15.08.2017	2	2	1	1
18.05.2017	5	5	0	0
04.04.2017	7	7	0	0
08.02.2017	6	6	2	4
19.01.2017	4	4	0	0
29.12.2016	4	4	1	3
01.05.2017	10	10	6	4
05.03.2017	4	4	2	2
24.01.2017	8	8	4	4
29.08.2016	4	4	1	3
04.08.2016	3	1	1	0
22.06.2016	12	12	8	4
08.05.2016	7	8	4	4
19.04.2016	3	3	0	0
26.03.2016	7	7	5	2
24.01.2017	7	7	4	3
13.12.2016	6	4	3	1
17.11.2016	7	6	3	3
25.08.2016	9	10	4	6
21.06.2016	10	10	7	3
09.05.2016	10	10	4	6
26.03.2016	7	7	4	3
09.09.2016	5	3	2	1
30.06.2016	9	9	4	5
17.05.2016	8	8	3	5
28.03.2016	7	7	3	4
09.09.2016	8	8	2	6
13.07.2016	6	6	2	4
30.05.2016	7	7	5	2
05.05.2016	7	7	3	4
31.03.2016	7	7	2	5
21.02.2017	3	3	0	0
08.01.2017	8	8	3	5
21.11.2016	5	6	3	3
01.11.2016	9	9	6	3
15.09.2016	2	2	0	0
04.08.2016	3	3	2	1
15.07.2016	1	1	0	0
22.06.2016	5	4	2	2
31.05.2016	3	2	2	0
05.05.2016	5	5	4	1
09.04.2016	4	4	0	4
06.07.2016	9	9	5	4
31.05.2016	5	5	0	0
11.05.2016	10	10	5	5
28.03.2016	10	10	5	5
13.02.2016	6	6	0	6
23.12.2015	7	10	5	5
22.06.2016	1	1	0	0
11.05.2016	7	7	2	5
28.03.2016	7	5	5	0
17.02.2016	4	4	4	0
23.12.2015	7	5	5	0
16.07.2016	7	8	5	3
31.05.2016	7	7	5	2
13.04.2016	10	10	4	6
06.03.2016	5	5	3	2
11.02.2016	8	8	3	5
23.12.2015	7	7	4	3
30.05.2016	5	5	2	2
21.03.2016	7	4	2	2
02.02.2016	2	5	2	3
23.12.2015	5	5	4	1
27.04.2016	9	8	3	5
16.03.2016	7	6	5	1
03.02.2016	3	3	2	1
23.12.2015	6	6	3	3
05.03.2017	4	4	0	4
24.01.2017	9	8	5	3
07.12.2016	7	6	5	1
17.11.2016	4	4	0	0
17.02.2017	8	8	4	4
13.12.2016	7	7	0	0
20.11.2016	1	6	3	3
09.10.2016	2	2	0	2
04.05.2017	3	3	2	1
20.03.2017	7	7	2	0
05.02.2017	6	6	2	4
27.08.2017	8	8	4	4
05.06.2017	7	7	3	4
19.10.2017	1	1	0	0
26.09.2017	7	7	0	5
02.08.2017	7	7	3	4
21.06.2017	3	2	2	0
05.06.2017	4	4	2	2
19.04.2017	2	1	1	0
14.08.2017	1	1	1	0
29.06.2017	5	5	2	3
29.04.2017	5	5	0	0
13.03.2017	2	2	1	1
22.07.2017	2	2	0	0
21.06.2017	8	8	2	0
08.05.2017	7	7	3	4
14.03.2017	6	6	3	3
28.08.2017	9	9	0	5
02.07.2017	9	9	4	5
24.05.2017	4	4	3	0
02.05.2017	10	10	5	4
08.04.2017	4	4	0	0
18.03.2017	6	6	1	0
25.10.2017	5	9	0	3
01.10.2017	10	9	4	5
08.08.2017	1	7	4	3
27.06.2017	4	4	0	0
13.05.2017	6	6	3	0
19.04.2017	7	7	3	4
03.10.2017	4	4	0	0
10.09.2017	6	6	3	3
01.08.2017	13	13	9	4
05.06.2017	9	9	4	5
10.07.2017	4	4	0	0
19.06.2017	7	7	0	0
06.01.2019	6	6	0	0
15.12.2018	7	7	3	4
09.11.2018	3	2	2	0
13.10.2018	8	8	2	4
27.08.2018	8	8	0	0
04.08.2018	6	6	4	2
09.01.2019	7	7	0	5
17.12.2018	6	6	3	3
31.10.2018	6	6	3	3
06.10.2018	8	8	2	5
28.08.2018	7	7	3	4
04.08.2018	7	7	6	1
10.10.2018	10	10	3	5
27.08.2018	5	5	1	4
19.07.2018	4	2	0	2
01.06.2018	9	9	5	0
22.12.2018	8	8	5	3
06.11.2018	8	10	3	7
02.09.2018	7	7	3	3
16.07.2018	5	5	0	0
24.06.2018	8	8	3	5
30.05.2018	9	9	3	6
27.08.2018	3	4	0	0
05.08.2018	7	7	3	3
24.06.2018	7	7	4	3
31.05.2018	7	7	4	3
15.12.2018	7	7	1	6
24.10.2018	10	10	0	0
09.09.2018	9	11	5	6
20.07.2018	7	3	0	3
24.06.2018	10	10	3	7
01.06.2018	8	8	4	4
06.01.2019	7	7	0	0
13.10.2018	9	9	3	6
27.08.2018	9	9	5	3
03.08.2018	8	7	3	4
12.09.2018	8	8	4	4
06.08.2018	8	8	6	2
22.02.2018	3	3	0	0
31.01.2018	5	5	3	2
11.01.2018	2	2	0	2
10.04.2018	3	3	0	0
19.03.2018	4	4	1	3
27.02.2018	1	1	0	0
14.01.2018	10	10	4	0
11.03.2018	5	5	1	4
22.01.2018	9	9	4	0
13.12.2017	4	4	0	0
16.11.2017	8	8	3	5
07.06.2018	7	7	4	0
16.04.2018	3	3	0	3
23.03.2018	8	8	6	2
03.03.2018	1	1	0	0
09.02.2018	4	4	1	0
15.01.2018	9	9	3	5
11.12.2017	2	2	1	1
16.11.2017	4	4	3	0
29.10.2017	3	2	2	0
07.10.2017	7	7	4	3
02.05.2018	2	2	0	0
06.04.2018	4	4	4	0
07.01.2018	7	7	3	4
