bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
15.09.2014	4	4	2	2
01.08.2014	8	5	4	1
19.06.2014	9	6	5	1
24.04.2014	4	7	4	3
14.03.2014	6	6	2	4
13.02.2014	8	8	4	4
09.01.2014	8	8	0	8
03.07.2014	8	8	0	0
30.05.2014	6	4	2	2
18.04.2014	8	9	5	4
06.03.2014	4	9	8	1
24.01.2014	12	11	5	6
06.12.2013	7	7	2	5
07.08.2014	8	6	2	4
19.06.2014	5	3	3	0
03.04.2014	7	7	6	1
28.02.2014	10	10	5	5
09.01.2014	8	11	7	4
28.11.2013	6	10	5	5
26.09.2014	1	0	0	0
19.06.2014	6	6	2	4
24.04.2014	15	11	3	8
14.03.2014	7	7	4	3
07.02.2014	9	11	6	5
27.12.2013	8	8	4	4
08.11.2013	7	7	4	3
06.08.2014	8	8	4	4
28.02.2014	5	5	5	0
08.11.2013	7	7	2	5
03.07.2014	5	5	0	0
22.05.2014	10	10	1	9
03.04.2014	3	6	4	2
28.02.2014	7	6	3	3
30.01.2014	10	7	2	5
02.01.2014	8	7	4	3
14.11.2013	9	8	3	5
11.10.2013	8	5	1	4
12.06.2014	6	6	3	3
02.05.2014	5	5	1	4
28.02.2014	7	5	3	2
26.08.2014	5	3	2	1
02.05.2014	7	6	4	2
20.03.2014	5	5	3	2
13.02.2014	7	5	2	3
17.01.2014	7	5	2	3
06.12.2013	7	7	5	2
14.11.2013	3	3	0	0
08.11.2013	8	3	0	3
26.09.2013	13	13	3	10
12.08.2013	5	6	5	1
29.12.2014	6	6	3	3
02.10.2014	9	9	4	5
23.08.2014	8	6	3	3
17.06.2015	1	1	1	0
28.04.2015	3	2	0	2
11.11.2014	4	4	2	2
03.07.2014	8	8	4	4
10.08.2015	1	1	0	0
12.05.2015	7	6	1	0
31.03.2015	4	3	0	0
05.12.2014	5	7	3	4
28.04.2015	3	3	2	1
14.03.2015	3	3	2	1
31.01.2015	8	8	6	2
18.12.2014	8	8	7	1
05.11.2014	6	4	2	2
23.12.2014	5	5	3	2
16.02.2015	4	4	1	3
25.01.2015	6	5	1	4
26.10.2014	5	3	1	2
