bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
02.05.2014	7	6	6	0
05.08.2014	7	7	3	4
19.06.2014	8	7	4	3
15.05.2014	5	5	3	2
20.03.2014	8	5	5	0
27.02.2014	4	4	0	4
17.07.2015	4	4	0	0
06.06.2015	3	3	1	2
24.04.2015	4	4	2	2
10.03.2015	5	5	0	0
15.02.2015	3	3	0	3
06.01.2015	3	3	2	1
17.03.2015	7	7	0	0
25.01.2015	3	3	1	2
04.01.2015	5	5	1	4
14.09.2015	2	6	3	3
23.06.2015	5	5	3	2
12.08.2015	1	1	0	0
11.06.2015	2	2	2	0
06.10.2015	8	8	4	4
15.09.2015	5	4	2	2
15.08.2015	3	3	3	0
21.06.2016	6	6	0	0
29.04.2016	10	9	5	4
15.03.2016	9	9	0	0
13.07.2016	8	6	3	3
13.03.2016	3	3	0	0
23.10.2015	4	4	0	0
29.02.2016	6	7	3	4
04.02.2016	9	6	3	3
20.04.2016	1	1	0	0
22.12.2015	2	5	2	3
21.06.2016	1	1	0	0
31.08.2016	3	3	0	0
03.07.2016	4	4	0	0
13.09.2016	1	1	0	0
28.07.2016	5	5	0	4
15.06.2016	10	10	5	3
10.05.2016	2	2	0	0
26.03.2016	5	6	4	2
04.02.2016	6	6	4	2
24.09.2017	3	3	0	0
06.09.2017	9	9	3	4
06.12.2016	7	7	0	0
31.10.2016	8	7	3	4
10.10.2016	5	5	3	2
08.11.2016	3	3	0	0
24.10.2016	6	6	0	0
27.05.2017	5	5	4	0
26.04.2017	3	3	0	0
13.03.2017	6	6	2	4
22.01.2017	5	5	0	0
25.12.2016	5	5	0	0
15.11.2016	2	2	0	0
29.12.2016	6	6	0	0
07.12.2016	1	1	0	0
14.10.2016	9	9	0	0
27.10.2017	3	3	0	0
06.09.2017	4	5	0	0
17.08.2017	6	6	4	2
25.07.2017	4	4	2	2
31.05.2017	6	6	0	4
21.03.2018	5	6	3	3
26.05.2018	4	4	0	0
02.05.2018	6	6	0	0
01.05.2018	9	9	0	0
08.01.2018	4	4	0	0
16.12.2017	4	4	0	0
05.11.2017	8	8	5	3
02.01.2018	4	4	0	0
01.02.2018	8	8	4	4
01.01.2018	6	6	0	0
17.11.2017	2	2	0	0
29.10.2017	3	3	0	0
23.01.2018	2	2	0	0
02.11.2010	5	4	2	2
16.11.2010	3	2	2	0
08.02.2011	3	6	3	3
23.11.2010	8	9	3	6
16.11.2010	10	7	1	6
14.12.2010	6	6	4	2
19.10.2010	5	5	2	3
15.06.2011	5	5	3	2
19.04.2011	5	7	4	3
25.04.2012	6	6	4	2
24.01.2012	7	3	3	0
03.01.2012	7	6	2	4
12.12.2011	5	8	3	5
09.10.2011	7	8	4	4
16.08.2011	11	10	6	4
09.10.2011	6	8	4	4
14.12.2010	6	6	5	1
16.11.2010	8	7	5	2
26.10.2010	3	2	2	0
04.01.2011	3	3	2	1
14.12.2010	5	2	1	1
23.11.2010	2	2	1	1
02.11.2010	3	3	2	1
25.07.2011	7	0	0	0
15.06.2011	5	6	2	4
27.04.2011	6	6	0	0
08.03.2011	6	6	3	3
08.02.2011	8	5	2	3
04.01.2011	6	4	2	2
23.11.2010	8	4	3	1
24.01.2012	3	7	7	0
17.10.2011	7	7	4	3
24.01.2012	7	7	0	7
19.10.2010	8	8	3	5
07.03.2013	5	4	3	1
28.01.2013	5	5	3	2
03.01.2013	5	2	2	0
29.11.2012	4	6	0	6
08.11.2012	3	3	0	3
11.10.2012	4	4	0	4
05.12.2013	7	7	3	4
31.10.2013	11	11	4	7
26.09.2013	6	5	2	3
06.09.2013	5	5	0	0
25.07.2013	6	4	0	4
18.07.2013	5	3	0	3
11.10.2012	6	6	3	3
02.10.2012	9	9	5	4
20.08.2012	6	8	4	4
30.05.2012	4	4	0	4
07.01.2013	7	7	3	4
15.12.2012	5	6	0	6
21.11.2013	6	5	0	5
25.10.2013	6	7	2	5
26.08.2013	8	8	3	5
05.07.2013	9	9	3	6
17.05.2013	8	7	3	4
12.12.2013	5	3	3	0
13.09.2013	6	6	3	3
05.06.2012	8	7	4	3
15.05.2014	4	4	2	2
19.04.2014	4	3	0	3
06.03.2014	8	8	4	4
02.05.2014	5	5	0	5
