bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
24.07.2019	5	5	3	2
17.05.2019	3	3	2	0
11.12.2019	5	5	5	0
03.02.2020	7	7	1	6
07.01.2020	7	7	4	3
10.12.2019	7	7	4	3
17.11.2019	6	4	2	2
16.09.2019	4	4	2	2
27.07.2019	2	2	0	2
08.03.2020	3	3	2	0
06.03.2020	3	3	0	0
16.01.2020	6	6	3	3
27.12.2019	1	1	1	0
22.03.2020	5	5	3	2
23.02.2020	7	7	4	3
23.02.2020	7	7	0	0
04.01.2020	7	7	3	4
04.02.2020	3	3	2	1
07.01.2020	8	8	3	5
28.11.2019	11	11	6	5
15.10.2019	7	7	2	5
19.09.2019	7	7	3	4
28.08.2019	7	7	2	5
01.12.2019	1	1	1	0
23.04.2020	6	6	3	3
06.03.2020	5	5	1	4
29.10.2020	6	6	3	3
08.10.2020	5	5	2	3
13.09.2020	5	5	3	2
27.08.2020	2	2	0	2
15.08.2020	5	6	4	2
16.07.2020	9	9	6	3
08.06.2020	5	4	3	1
13.05.2020	9	9	6	3
20.04.2020	4	2	0	2
22.03.2020	8	9	6	3
12.08.2020	2	2	2	0
19.07.2020	2	2	0	1
20.06.2020	2	2	1	1
23.04.2020	4	4	0	0
17.10.2020	6	6	5	1
15.10.2020	8	8	6	2
07.11.2020	3	7	0	0
24.09.2020	3	3	1	2
12.09.2020	4	4	2	1
05.08.2020	6	6	2	2
12.07.2020	6	6	5	1
20.06.2020	8	7	4	3
24.05.2020	4	2	2	0
22.10.2020	2	3	3	0
25.09.2020	4	5	1	4
28.08.2020	6	6	4	2
17.07.2020	8	8	4	4
24.06.2020	4	6	4	2
30.05.2020	4	5	1	4
17.11.2020	6	6	0	0
12.10.2020	2	2	0	0
18.09.2020	5	5	3	2
22.08.2020	7	8	5	3
30.07.2020	6	6	1	5
04.07.2020	3	3	2	1
09.06.2020	7	7	2	5
16.06.2016	4	4	3	0
25.06.2016	3	3	3	0
08.09.2016	12	12	7	5
29.07.2016	2	2	2	0
27.07.2016	2	2	2	0
08.12.2016	10	10	6	4
22.10.2016	6	6	2	4
18.06.2016	8	8	1	7
23.05.2016	3	3	3	0
01.06.2017	10	10	5	5
07.02.2017	8	8	3	5
28.01.2017	5	5	5	0
29.12.2016	8	8	5	3
01.09.2016	8	8	3	5
24.08.2016	2	2	2	0
15.07.2016	3	3	1	2
22.06.2016	4	3	3	0
21.04.2016	7	7	4	3
02.03.2016	2	3	1	1
01.02.2017	6	6	3	3
08.12.2016	5	5	3	2
30.10.2016	14	13	3	10
25.06.2016	4	4	4	0
07.05.2016	1	1	1	0
02.05.2016	6	6	2	4
30.03.2016	3	3	2	1
02.03.2016	3	3	2	1
10.08.2017	4	4	2	2
24.06.2017	18	18	8	10
18.07.2017	18	18	0	0
16.08.2017	2	2	0	0
26.07.2017	2	2	1	1
15.04.2017	7	7	2	5
15.02.2017	1	1	0	1
12.05.2017	4	4	0	4
04.03.2017	5	5	3	2
15.02.2017	4	4	4	0
03.11.2017	2	2	2	0
22.07.2017	7	7	4	3
10.08.2017	5	5	2	3
01.09.2017	5	5	0	0
04.06.2018	3	0	0	0
17.02.2018	6	6	3	3
12.01.2018	8	8	4	4
04.08.2018	2	0	0	0
13.07.2018	1	1	1	0
03.02.2018	3	3	0	3
21.12.2017	12	12	6	6
22.10.2017	7	7	1	6
17.02.2018	5	5	4	1
07.11.2017	3	3	2	1
21.02.2018	1	0	0	0
02.02.2018	4	4	3	1
06.01.2018	5	6	2	4
15.12.2017	2	2	0	2
16.11.2017	8	8	3	5
02.10.2017	8	6	3	3
31.12.2017	4	3	1	2
27.09.2017	3	3	2	1
28.11.2018	5	5	3	2
09.03.2019	7	6	1	5
14.02.2019	2	2	0	0
26.01.2019	3	3	2	0
01.01.2019	1	1	0	0
27.07.2019	6	6	5	0
06.07.2018	3	8	3	5
27.04.2018	9	9	4	5
06.01.2018	6	6	4	2
15.12.2017	9	9	2	7
12.03.2018	9	9	0	9
29.01.2018	4	4	2	2
06.01.2018	6	6	0	0
03.02.2018	2	0	0	0
23.12.2017	5	5	3	2
26.09.2018	2	2	1	1
13.07.2018	5	5	2	3
06.05.2018	3	8	4	4
08.02.2018	11	11	6	5
07.01.2018	5	5	0	5
15.11.2018	2	0	0	0
03.10.2018	4	2	0	2
07.06.2018	3	3	3	0
23.04.2018	15	17	8	9
24.02.2018	10	10	0	5
06.01.2018	8	8	5	3
30.07.2018	6	6	5	1
24.02.2018	9	10	10	0
11.01.2018	6	6	3	3
02.07.2018	4	4	4	0
21.05.2018	2	1	1	0
19.02.2018	8	9	4	5
06.01.2018	6	6	5	1
09.06.2018	2	2	2	0
21.05.2018	1	1	0	0
18.03.2018	10	10	10	0
07.01.2018	8	8	4	4
20.06.2018	7	0	0	0
22.04.2018	6	7	3	4
08.01.2018	7	7	4	3
20.08.2018	8	8	4	4
14.06.2018	6	6	3	3
10.05.2018	1	1	0	1
26.03.2018	9	8	6	2
26.02.2018	14	13	6	7
01.02.2018	9	8	5	3
08.01.2018	8	7	3	4
20.01.2019	4	4	2	2
29.11.2018	6	6	3	2
01.10.2018	7	7	5	2
19.08.2018	6	6	2	4
09.07.2018	6	6	3	3
23.10.2018	4	3	2	1
03.09.2018	1	2	1	1
25.04.2017	2	2	2	0
26.02.2018	2	2	1	1
08.01.2018	4	4	2	2
15.12.2017	6	5	0	5
06.11.2017	5	9	4	5
03.02.2018	2	2	0	1
18.12.2017	8	9	5	4
