"dd" "mm" "yy" "pups_born" "pups_beforeW" "weaned_f" "weaned_m"
"1" 9 10 2019 9 9 4 5
"2" 31 10 2019 7 7 2 4
"3" 11 11 2019 6 6 4 2
"4" 24 11 2019 3 3 2 1
"5" 23 12 2019 5 5 2 1
"6" 1 1 2020 9 9 7 2
"7" 7 1 2020 6 6 5 1
"8" 7 1 2020 7 7 5 2
"9" 13 1 2020 5 5 0 0
"10" 30 1 2020 9 9 0 0
"11" 2 2 2020 5 5 0 0
"12" 26 2 2020 4 4 1 3
"13" 6 3 2020 9 9 0 0
"14" 28 3 2020 5 5 3 2
"15" 15 4 2020 6 6 1 3
"16" 3 5 2020 8 8 3 5
"17" 25 5 2020 8 8 0 0
"18" 5 7 2020 7 7 4 3
"19" 9 7 2020 5 5 0 0
"20" 13 7 2020 5 5 0 0
"21" 6 8 2020 5 5 0 0
"22" 14 8 2020 4 5 4 1
"23" 23 8 2020 2 2 1 1
"24" 4 9 2020 2 2 0 0
"25" 10 9 2020 2 2 0 0
"26" 13 9 2020 2 2 0 0
"27" 16 9 2020 5 5 0 0
"28" 23 9 2020 7 7 0 0
